name,reviewer,no_stars,review_body,guide,no_reviews,review-date,url,timestamp
Amitkumar Jadav,Amitkumar Jadav,5.0,,Local Guide,45 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
Alok Kumar,Alok Kumar,5.0,,Local Guide,20 reviews,10 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
Rajalaxmi Rajagopalan,Rajalaxmi Rajagopalan,5.0,Great place. The garden was much bigger than I anticipated with well-maintained plants and flowers.,Local Guide,41 reviews,3 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
Shailesh Verma,Shailesh Verma,4.0,Beautiful garden with intriguing history.. Would recommend to take a guided tour.. Beautiful fountains along with lot of greenery.,Local Guide,48 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
Jitender Singh,Jitender Singh,5.0,,Local Guide,97 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
Namita Jain,Namita Jain,5.0,"It's a beautiful place, a popular tourist place, a large garden area, known for natural fountains situated here, and a lotus pool. Full of greenery & good vibes. There is an entry ticket too.",Local Guide,108 reviews,7 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
veeresh kumar singh,veeresh kumar singh,5.0,"I liked this place very much. Full of green grass, fountains this place is very charming.",Local Guide,43 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
Manoj Kumar,Manoj Kumar,4.0,,Local Guide,79 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
Vivek Garg,Vivek Garg,4.0,,Local Guide,55 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
Arti Sathe,Arti Sathe,5.0,Nice picnic spot and a very low entry fee of just 20 rupees. The place is very beautiful for taking pictures and spending time with family. Must visit places in udaipur far better than city palace,Local Guide,6 reviews,5 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
Praveen Singh Shekhawat,Praveen Singh Shekhawat,5.0,Wonderful garden with lots of fountains. Entry fee for Indian 20 rupee. Best for nature photography. Near to sukhadia Circle. Parking space is just opposite to the garden. Toilet facilities available near ticket counter. Food stalls near the entrance,Local Guide,202 reviews,8 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
Sarvesh Admuthe,Sarvesh Admuthe,4.0,This garden is big enough to spend an hour at leisure. There are beautiful flowers and fountains. The lawn is also big. There are big trees for the shadow. The garden was built for Lady and her friends hence the name. There is a small entry fee.,Local Guide,65 reviews,a week ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
uddeshya kumar,uddeshya kumar,4.0,,Local Guide,41 reviews,5 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
Ashutosh Chopde,Ashutosh Chopde,5.0,,Local Guide,102 reviews,5 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
Nishant Karkala,Nishant Karkala,5.0,Beautiful place to spend some time. Go early in the morning. No crowds and I had the place all to myself,Local Guide,85 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
Joydeep Paul,Joydeep Paul,1.0,"Well, it is not a place worth a visit for. Ticket is 20 rs per person, which totally unjustifies the badly managed garden, unplanned and ugly fountains.. Don't waste your valuable time here!",Local Guide,116 reviews,3 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
Amit Sharma,Amit Sharma,5.0,Must visit landmark in the udaipur. Atmosphere is amazing and deep in nature. Took 15 minutes to visit the whole place.,Local Guide,61 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
saumya tripathi,saumya tripathi,5.0,,Local Guide,23 reviews,5 days ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
Swetha Ramkumar,Swetha Ramkumar,5.0,Well maintained garden and variety of fountains (lotus and elephant fountain). The park is a good place to relax and walk.,Local Guide,105 reviews,5 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
Pranoy Dutta,Pranoy Dutta,3.0,"It's a beautiful garden. You can spend 30-45 mins, click beautiful pics. Guides are available, they ask around 200 rupees but you can bargain till 100. Overall a good garden to spend some good times.",Local Guide,44 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:20Z
SM S,SM S,4.0,,Local Guide,130 reviews,4 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:21Z
ashutosh soni,ashutosh soni,4.0,"Beautiful , historical  nd ethnic place beautiful fountain arrangement  nd garden has variety of floral beauties",,30 reviews,2 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:21Z
Shobha Shami,Shobha Shami,5.0,It’s a beautiful place. Just that it’s better if you go in the morning otherwise it can be very crowded.,Local Guide,12 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:21Z
Shubham Pancholi,Shubham Pancholi,4.0,"Very nice view and big enough park to spent time with family, showers and other things are nicely maintained",Local Guide,40 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:21Z
Prem Dan Detha,Prem Dan Detha,5.0,,Local Guide,137 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:21Z
Mamta Sharma,Mamta Sharma,5.0,,Local Guide,45 reviews,3 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:21Z
saumya garg,saumya garg,5.0,,Local Guide,47 reviews,6 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:21Z
Abhijit,Abhijit,5.0,,Local Guide,423 reviews,11 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:21Z
Shashank Gupta,Shashank Gupta,4.0,"Ticket price is 20rs for adult ,5 rs for kids. It lies in the northern part of the city and has fountains and kiosks, a lotus pool and marble elephants. It was built by Rana Sangram Singh.",Local Guide,151 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:21Z
Raj Sonawane,Raj Sonawane,5.0,"Saheliyon Ki Bari was laid for a group of forty-eight maidens. This garden is located on the banks of the Fateh Sagar Lake, presenting a green retreat in the dry lands of Rajasthan",Local Guide,61 reviews,4 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:21Z
Gourav Majee,Gourav Majee,5.0,One of the nicest garden I’ve seen . Such a beautiful place to visit in middle of the heart of Udaipur . Greenery along with friends masti was the major part of the fun . Little crowded sometimes still you’ll find good things inside,Local Guide,100 reviews,5 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:21Z
Khushboo M,Khushboo M,4.0,"It's worth a visit. Marble elephants, fountains, lotus pond, all are very picturesque. The best time to visit is during sunset, so you can also see the lights thereafter..",Local Guide,98 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:21Z
Pratiksha Das,Pratiksha Das,5.0,"It was a historical place with so many attractions. We have taken a guide, who guided, and told us about the place. It was basically built for the queens to enjoy their ""me time"". One should visit here and see the beautiful of the place. It was knowledgeable and attractive too.",Local Guide,53 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:21Z
jafar indorewala,jafar indorewala,4.0,Good place for garden lovers and fountains.. Historical place.freinds place.,Local Guide,129 reviews,2 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:21Z
himanshi parashar,himanshi parashar,5.0,,Local Guide,54 reviews,5 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:21Z
AMG NAIR,AMG NAIR,4.0,A park with fountains and lot of greenery in mid of the city. Various photo shoot locations. Lotus pond.,,21 reviews,2 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:21Z
Ghanshyam Biyani,Ghanshyam Biyani,5.0,,,48 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:22Z
deepak chaudhary,deepak chaudhary,5.0,,Local Guide,23 reviews,8 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:22Z
Meghna Chatterji,Meghna Chatterji,5.0,"It's a masterclass in landscape architecture, small yet elegant, so feminine and the painting gallery is also nice. I didn't expect it to be this beautiful befor my visit. I was happily surprised. Highly recommend it.",Local Guide,30 reviews,4 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:22Z
Manish Kumar Singh,Manish Kumar Singh,5.0,,Local Guide,257 reviews,9 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:22Z
Rohit Raj,Rohit Raj,5.0,A must visit place it has a fountain without a pump and also has an art gallery and a beautiful garden,Local Guide,218 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:22Z
Priyanka Ghosh,Priyanka Ghosh,5.0,"It is a beautiful garden with a lush green area, and an innumerable variety of flowers. Saheliyon ki Bari/ Garden of Maidens is a very serene place to be in when you are in Udaipur. Entry fee is very nominal so it's all worth it. Evening time is the best to visit. A perfect place for photosession.",Local Guide,9 reviews,7 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:22Z
sumit pandey,sumit pandey,4.0,,Local Guide,503 reviews,6 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:22Z
A.K. Malhotra,A.K. Malhotra,4.0,Very beautiful lush green heritage garden with fountains running all day.,Local Guide,56 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:22Z
Prajesh Das,Prajesh Das,5.0,,Local Guide,64 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:22Z
Michael Fultz,Michael Fultz,5.0,A nice garden with a cool history. The royal ladies would come here to frolic and relax away from prying eyes.,Local Guide,79 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:22Z
Shivam Kumar,Shivam Kumar,4.0,,Local Guide,54 reviews,6 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:22Z
Partha Bhadra,Partha Bhadra,3.0,,Local Guide,122 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:22Z
JC,JC,5.0,Very good place to visit. place with different types of fountain in the garden. you will like this place in summer. go with children they will definitely enjoy it. Garden looks like Kashmir garden with different types of flower. entry fee is 20. if you go with guide they will give you history about this place in details.,Local Guide,22 reviews,3 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:22Z
Lets Travel To (Nouna),Lets Travel To (Nouna),5.0,,Local Guide,236 reviews,a year ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:22Z
kumar sunny,kumar sunny,4.0,Good place to visit after visiting the other most go destination in udaipur local.,Local Guide,234 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:23Z
Garima Gurjar,Garima Gurjar,5.0,Nice place to visit with little amount ticket . Book your guide if you you want to see there things . Photo Holic place.,Local Guide,52 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:23Z
vinay kanaujia,vinay kanaujia,4.0,A beautiful place to spend few hours. Nice arrengement of fountains. Greenary and fountains are key.,Local Guide,46 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:23Z
Sumeet Garara,Sumeet Garara,5.0,"The garden is beautiful loved the painting, water fountains.",Local Guide,300 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:23Z
Sapna Jangid,Sapna Jangid,5.0,"Nature's abode.. One must not skip this place, from a soothing Rain garden to calming greenery Saheliyon ki bari has it all.. You can see a wide range of flowers.",Local Guide,45 reviews,5 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:23Z
Dinesh Vellakkat,Dinesh Vellakkat,4.0,Nice garden. 20 rs entrance fee.,Local Guide,492 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:23Z
Kruti Shah,Kruti Shah,3.0,Expected this place to be much more than a garden😅 but it was good place with greenery and flowers all around. There is this fountain ⛲️ thing located in middle with bari’s all around. But a peaceful place to just go and spend time with family!,Local Guide,91 reviews,8 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:23Z
Akshay Zadgaonkar,Akshay Zadgaonkar,5.0,,Local Guide,134 reviews,2 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:24Z
jayrajsinh gohil,jayrajsinh gohil,5.0,,Local Guide,7 reviews,9 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:24Z
vikram choudhary,vikram choudhary,5.0,,Local Guide,46 reviews,8 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:24Z
Subrata Nath,Subrata Nath,5.0,,Local Guide,118 reviews,3 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:24Z
Dr. Keval Sanepara,Dr. Keval Sanepara,5.0,"The mesmerizing Saheliyon Ki Bari is located on the banks of the Fateh Sagar Lake in Udaipur. It has beautifully landscaped lush green lawns, canopied walking lanes and magnificent fountains. Most visitors think Saheliyon ki Bari is one of the best places in Udaipur to relax and rejuvenate with friends, family or even alone",Local Guide,914 reviews,5 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:24Z
Sumit Giri,Sumit Giri,4.0,,Local Guide,14 reviews,a year ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:24Z
Rohan Makwana,Rohan Makwana,4.0,Yes it's a good place but you need time to visit it and know about it will suggest get a guide and know about it,Local Guide,38 reviews,4 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:24Z
Kritika Singh,Kritika Singh,5.0,,Local Guide,21 reviews,8 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:24Z
Shardul Rawat,Shardul Rawat,4.0,"A nice place to relax, chill and enjoy. Lish green park with places to sit and soothe your senses. The only thing to beware of is mosquitoes at the benches. Overall a good place to visit, not a main attraction of Udaipur but can visit if time permits.",Local Guide,104 reviews,9 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:24Z
The Woof-Kaw Tales,The Woof-Kaw Tales,5.0,,Local Guide,36 reviews,8 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:24Z
vikram singh,vikram singh,4.0,"This is an unique historical place, which is showcasing the technical mastery of people who ruled udaipur. The fountains are running without any electricity, only the physics were applied by the engineers of the golden era.",Local Guide,63 reviews,6 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:24Z
pranav pillai,pranav pillai,4.0,It's basically a garden for royal ladies to visit the only thing here is the fountains which work without electricity,Local Guide,220 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:24Z
Aman Dwivedi,Aman Dwivedi,5.0,,Local Guide,41 reviews,11 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:24Z
Raghava Velagaleti,Raghava Velagaleti,5.0,,Local Guide,251 reviews,7 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:24Z
Vishak Nair,Vishak Nair,4.0,,Local Guide,47 reviews,a year ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:25Z
Het Panchal,Het Panchal,5.0,"One of the best and most famous place to chill. Most preferable time is in evening, where you can see many fountains and gardens at this place",,7 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:25Z
Omkar Phodkar,Omkar Phodkar,3.0,"Nice garden, good for kids to play, painting are marvelous, fountains are more",Local Guide,27 reviews,4 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:25Z
mistry jay,mistry jay,5.0,Nice place to Visit...So Much greenary And awesome atmosphere,Local Guide,81 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:25Z
Aswathy p,Aswathy p,4.0,Peaceful place.beautifully maintained with fountain and garden plants.it was just 20 rupees entry fees.it is a good place for nature lovers.,Local Guide,13 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:25Z
Its Bk,Its Bk,5.0,It is a very good place to enjoy our picnic  and it is a good historical place in udaipur,Local Guide,6 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:25Z
Krutarth Rindani,Krutarth Rindani,4.0,,Local Guide,202 reviews,10 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:26Z
Riya Biswas,Riya Biswas,5.0,,Local Guide,124 reviews,10 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:26Z
NAVEEN CHOUDHARY,NAVEEN CHOUDHARY,5.0,,Local Guide,98 reviews,7 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:26Z
MR. Desai,MR. Desai,4.0,A quiet place for a single day picnic with family... Nice place for children..,Local Guide,15 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:26Z
hitaish kg,hitaish kg,3.0,It's a quite good garden.  There is nothing much to watch but is quite peaceful and present. The price is very reasonable (20 for Indian citizen and 100rs for others). It's a good place to go and take a walk,Local Guide,31 reviews,a year ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:26Z
Nirav Vaishnav,Nirav Vaishnav,5.0,Very well maintained garden with fountain and very clean area,Local Guide,166 reviews,2 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:26Z
Kavita Arora,Kavita Arora,4.0,"Very nice public garden, well maintained as well",Local Guide,598 reviews,4 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:26Z
Jyoti Panchasara Shah,Jyoti Panchasara Shah,5.0,Great place to visit.. evening time is best for visit.. one time experience is must..,Local Guide,26 reviews,4 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:26Z
Tarun Kumawat,Tarun Kumawat,4.0,,Local Guide,118 reviews,a year ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:26Z
Abhishek Biswas,Abhishek Biswas,5.0,A well maintained beautiful garden to spend quality time with your loved ones. Guides are really a nuisance all over the place. Keep on chasing you.,,74 reviews,5 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:26Z
The Don,The Don,5.0,Nice and beautiful place for kids and Families to enjoy. The fountains are very beautiful. The garden area is very calm and beautiful. You can spend time with kids and loved ones. Very well maintained park.,Local Guide,12 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:26Z
Sagar Shah,Sagar Shah,4.0,,Local Guide,114 reviews,7 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:26Z
alroy lawrence,alroy lawrence,4.0,,Local Guide,88 reviews,3 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:27Z
Syeda Farhat,Syeda Farhat,5.0,,Local Guide,33 reviews,a year ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:27Z
Feni Kadivar,Feni Kadivar,5.0,Very beautiful flowers and well maintained,Local Guide,24 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:27Z
Travel Vision India,Travel Vision India,5.0,Vary good and maintained park located at city centre,Local Guide,39 reviews,2 weeks ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:27Z
shambhavi verma,shambhavi verma,5.0,"Very beautiful place , a must visit if in Udaipur!",Local Guide,10 reviews,a month ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:27Z
vikrant vaish,vikrant vaish,5.0,"Saheliyon Ki Bari is a majestic garden in the city of Udaipur, Rajasthan, India. It is also known as the Garden or the Courtyard of Maidens. As the name suggests, it was made for the maidens who accompanied the Princess after her marriage to Maharana Sangram Singh. Nice experience, well built and lots of greenery.",Local Guide,45 reviews,4 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:27Z
Maulin Shah,Maulin Shah,5.0,An excellent n lively park created by ancient historical Royal for entertainment and recreation purposes without any sort of engineering assistance or electricity ...,Local Guide,432 reviews,6 months ago,"https://www.google.com/search?q=saheliyon+ki+bari#lrd=0x3967e5d77db7d277:0x9d61a020249ce441,1,,,,",2024-01-28T21:48:27Z
